"Name","RelativeUrl","Url","MossModified","SPOModified"
"CopyReport_Announcements_2015723_07-57-49.xlsx","/MigrationTest/Subfolder/CopyReport_Announcements_2015723_07-57-49.xlsx","https://ivanskiiy.sharepoint.com/MigrationTest/Subfolder/CopyReport_Announcements_2015723_07-57-49.xlsx","12/25/2015 1:37:33 PM","12/25/2015 1:46:57 PM"
"run_MOSS_ExportLists.png","/MigrationTest/run_MOSS_ExportLists.png","https://ivanskiiy.sharepoint.com/MigrationTest/run_MOSS_ExportLists.png","12/25/2015 1:48:22 PM","12/25/2015 1:47:21 PM"
"Test.txt","/MigrationTest/Test.txt","https://ivanskiiy.sharepoint.com/MigrationTest/Test.txt","12/25/2015 1:49:51 PM","12/25/2015 1:49:07 PM"
