"Name","RelativeUrl","Url","Modified"
"CopyReport_Announcements_2015723_07-57-49.xlsx","/MigrationTest/SubFolder/CopyReport_Announcements_2015723_07-57-49.xlsx","http://lst-app/MigrationTest/SubFolder/CopyReport_Announcements_2015723_07-57-49.xlsx","12/25/2015 1:37:33 PM"
"run_MOSS_ExportLists.png","/MigrationTest/run_MOSS_ExportLists.png","http://lst-app/MigrationTest/run_MOSS_ExportLists.png","12/25/2015 1:48:22 PM"
"Test.txt","/MigrationTest/Test.txt","http://lst-app/MigrationTest/Test.txt","12/25/2015 1:49:51 PM"
"CopyReport_Tasks_2015723_07-57-52.xlsx","/MigrationTest/SubFolder/SubSubFolder/CopyReport_Tasks_2015723_07-57-52.xlsx","http://lst-app/MigrationTest/SubFolder/SubSubFolder/CopyReport_Tasks_2015723_07-57-52.xlsx","12/29/2015 7:07:22 PM"
