"Name","RelativeUrl","Url","Modified"
"16.11.2015 ?????????? (260323042201).pdf - 16.11.2015 ????..pdf","/Shared Documents/16.11.2015 ?????????? (260323042201).pdf - 16.11.2015 ????..pdf","https://ivanskiiy.sharepoint.com/Shared Documents/16.11.2015 ?????????? (260323042201).pdf - 16.11.2015 ????..pdf","12/17/2015 9:03:52 AM"
"run_MOSS_ExportLists.png","/MigrationTest/run_MOSS_ExportLists.png","https://ivanskiiy.sharepoint.com/MigrationTest/run_MOSS_ExportLists.png","12/25/2015 1:47:21 PM"
"Test.txt","/MigrationTest/Test.txt","https://ivanskiiy.sharepoint.com/MigrationTest/Test.txt","12/25/2015 1:49:07 PM"
"CopyReport_Announcements_2015723_07-57-49.xlsx","/MigrationTest/Subfolder/CopyReport_Announcements_2015723_07-57-49.xlsx","https://ivanskiiy.sharepoint.com/MigrationTest/Subfolder/CopyReport_Announcements_2015723_07-57-49.xlsx","12/25/2015 1:46:57 PM"
